username,community,pagerank,betweenness,in_degree,out_degree,narrative_similarity,tweet_frequency,reply_ratio,is_buzzer
vctrkmng,115,0.0014426852940011,0.0,1,0,0.7299067943718129,1,0.0,0
abdn_raa,36,0.0007796825227094,0.0,0,1,0.1930157165094015,1,1.0,0
arisasahara,116,0.0007796825227094,0.0,0,1,0.3802290569704044,1,1.0,0
arkanamaheswara,116,0.0025145758202285,3.291530891017412e-06,3,1,0.3458681050875822,1,1.0,0
tomiananto,1,0.0007796825227094,0.0,0,1,0.1437147311005972,1,1.0,0
potato251022,117,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
kimmycore_T_T,118,0.0007796825227094,0.0,0,1,0.3506592995599763,1,1.0,0
2KangKomen,119,0.0007796825227094,0.0,0,2,0.3727599289614146,2,1.0,0
riokxxx,36,0.0007796825227094,0.0,0,1,0.3529615484444367,1,1.0,0
Indrovertt,1,0.0007796825227094,0.0,0,1,0.0996255455929246,1,1.0,0
nug_om,1,0.0007796825227094,0.0,0,1,0.1642611790843697,1,1.0,0
Kingcube12,89,0.0007796825227094,0.0,0,2,0.4231106604191756,2,1.0,1
budhi_fahlevi,1,0.0007796825227094,0.0,0,1,0.0731657677975544,1,1.0,0
doblang_08,1,0.0007796825227094,0.0,0,1,0.1483845434944978,1,1.0,0
shaarashiy,120,0.0007796825227094,0.0,0,1,0.3970715536403275,2,0.5,0
Seputar_Energi_,120,0.0026581903747026,0.0,4,0,0.2517289838112447,5,0.0,0
YwdhMwDypyn,121,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
August_9,1,0.0007796825227094,0.0,0,1,0.1132626676133352,1,1.0,0
MartaArdy,75,0.0007796825227094,0.0,0,1,0.4046084697456354,1,1.0,0
Faraz_kepri,122,0.0007796825227094,0.0,0,2,0.6005264059779593,2,1.0,1
GhostHantu1337,1,0.0007796825227094,0.0,0,1,0.252045365787217,1,1.0,0
FSutalaksana,1,0.0007796825227094,0.0,0,1,0.1362034174161986,1,1.0,0
cutsarina5,122,0.0011111839083552,0.0,1,0,0.5659348939702239,1,0.0,0
llsusanto,1,0.0007796825227094,0.0,0,1,0.2308847689583803,1,1.0,0
jansuspendbgst,1,0.0007796825227094,0.0,0,1,0.2316663573387768,1,1.0,0
sumur_resapan,1,0.0007796825227094,0.0,0,1,0.1036955001849171,1,1.0,0
bocahtaunakal,36,0.0007796825227094,0.0,0,1,0.1805199160195468,1,1.0,0
cultgirls,123,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
blessedthehell,1,0.0007796825227094,0.0,0,1,0.0717131388449219,1,1.0,0
YokL97,1,0.0010006834464733,1.645765445508706e-06,1,1,0.1627983737580029,1,1.0,0
dudidut77,7,0.000812832661274,5.485884818362354e-07,1,1,0.1642878430929653,1,1.0,0
edoprota,1,0.0007796825227094,0.0,0,1,0.1754480576409612,1,1.0,0
Cuexbe2k,1,0.0014426852940011,1.645765445508706e-06,1,1,0.082426060338079,1,1.0,0
atuhlieur,1,0.0007796825227094,0.0,0,1,0.1737670035061358,1,1.0,0
ririssseee,1,0.0007796825227094,0.0,0,1,0.2331262272358054,1,1.0,0
Duma_sarii,120,0.0007796825227094,0.0,0,2,0.3667751761617871,3,0.6666666666666666,0
InfoJktCom,120,0.0043156973029319,0.0,7,0,0.2517289838112447,5,0.0,0
jusyza,124,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
LahrianSyahilla,120,0.0026581903747026,0.0,5,0,0.2517289838112447,2,0.0,0
omsenank1,125,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
hasibHphasibuan,1,0.0007796825227094,0.0,0,1,0.1005264975060406,1,1.0,0
AzhariSanpul,26,0.0007796825227094,0.0,0,1,0.1665269576836764,1,1.0,0
Rini_amalia2,120,0.0007796825227094,0.0,0,3,0.3411645619187097,4,0.75,0
Zaskiyah22,120,0.0007796825227094,0.0,0,2,0.3327969032334258,3,0.6666666666666666,0
Fiona_Fahlevi,120,0.0007796825227094,0.0,0,2,0.371275535768024,3,0.6666666666666666,0
f22pinkfalcon,119,0.0007796825227094,0.0,0,1,0.4374272692576175,1,1.0,0
Didikjzie,2,0.0007796825227094,0.0,0,1,0.2561196310846286,1,1.0,0
haje_naja,1,0.0007796825227094,0.0,0,1,0.2004008484882769,1,1.0,0
Gendoet3G,119,0.0007796825227094,0.0,0,2,0.3792841617542976,2,1.0,0
Danugrahrobby,1,0.0007796825227094,0.0,0,1,0.0608964887402148,1,1.0,0
abdulajiiz48,1,0.0007796825227094,0.0,0,1,0.1083045258593809,1,1.0,0
CFCHaddock,116,0.0007796825227094,0.0,0,1,0.3235859056513416,1,1.0,0
MiRV19Kft,116,0.0025145758202285,3.291530891017412e-06,3,1,0.3795907984698659,1,1.0,0
daehypeelS_,1,0.0007796825227094,0.0,0,1,0.1300046435617378,1,1.0,0
